scenario,vintage,scope,year,value,unit,source
NZE,WEO2025,BBVA O&G,2037,6.253359,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2038,5.600327,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2039,5.01549,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2040,4.491727,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2041,3.8835,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2042,3.357634,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2043,2.902975,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2044,2.509881,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2045,2.170017,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2046,1.876174,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2047,1.62212,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2048,1.402468,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2049,1.212559,Mt CO2,reported
NZE,WEO2025,BBVA O&G,2050,1.048366,Mt CO2,reported
NZE,WEO2023,Global Oil (A.4),2021,11257,Mt CO2,reported
NZE,WEO2023,Global Gas (A.4),2021,10804,Mt CO2,reported
NZE,WEO2023,Global O&G (A.4),2021,22061,Mt CO2,reported
NZE,WEO2023,Global Oil (A.4),2022,11559,Mt CO2,reported
NZE,WEO2023,Global Gas (A.4),2022,10700,Mt CO2,reported
NZE,WEO2023,Global O&G (A.4),2022,22259,Mt CO2,reported
NZE,WEO2023,Global Oil (A.4),2023,11119.75,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2023,10434.5,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2023,21554.25,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2024,10680.5,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2024,10169,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2024,20849.5,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2025,10241.25,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2025,9903.5,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2025,20144.75,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2026,9802,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2026,9638,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2026,19440,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2027,9362.75,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2027,9372.5,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2027,18735.25,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2028,8923.5,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2028,9107,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2028,18030.5,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2029,8484.25,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2029,8841.5,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2029,17325.75,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2030,8045,Mt CO2,reported
NZE,WEO2023,Global Gas (A.4),2030,8576,Mt CO2,reported
NZE,WEO2023,Global O&G (A.4),2030,16621,Mt CO2,reported
NZE,WEO2023,Global Oil (A.4),2031,7510,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2031,7806.4,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2031,15316.4,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2032,6975,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2032,7036.8,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2032,14011.8,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2033,6440,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2033,6267.2,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2033,12707.2,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2034,5905,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2034,5497.6,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2034,11402.6,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2035,5370,Mt CO2,reported
NZE,WEO2023,Global Gas (A.4),2035,4728,Mt CO2,reported
NZE,WEO2023,Global O&G (A.4),2035,10098,Mt CO2,reported
NZE,WEO2023,Global Oil (A.4),2036,4944.4,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2036,4259.2,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2036,9203.6,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2037,4518.8,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2037,3790.4,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2037,8309.2,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2038,4093.2,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2038,3321.6,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2038,7414.8,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2039,3667.6,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2039,2852.8,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2039,6520.4,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2040,3242,Mt CO2,reported
NZE,WEO2023,Global Gas (A.4),2040,2384,Mt CO2,reported
NZE,WEO2023,Global O&G (A.4),2040,5626,Mt CO2,reported
NZE,WEO2023,Global Oil (A.4),2041,3000.2,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2041,2189.2,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2041,5189.4,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2042,2758.4,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2042,1994.4,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2042,4752.8,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2043,2516.6,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2043,1799.6,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2043,4316.2,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2044,2274.8,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2044,1604.8,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2044,3879.6,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2045,2033,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2045,1410,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2045,3443,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2046,1791.2,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2046,1215.2,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2046,3006.4,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2047,1549.4,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2047,1020.4,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2047,2569.8,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2048,1307.6,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2048,825.6,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2048,2133.2,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2049,1065.8,Mt CO2,interp_lineal
NZE,WEO2023,Global Gas (A.4),2049,630.8,Mt CO2,interp_lineal
NZE,WEO2023,Global O&G (A.4),2049,1696.6,Mt CO2,interp_lineal
NZE,WEO2023,Global Oil (A.4),2050,824,Mt CO2,reported
NZE,WEO2023,Global Gas (A.4),2050,436,Mt CO2,reported
NZE,WEO2023,Global O&G (A.4),2050,1260,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2021,12.132638,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2022,11.737963,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2023,11.34341,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2024,10.948735,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2025,10.554182,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2026,10.159507,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2027,9.764954,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2028,9.3704,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2029,8.975725,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2030,8.581172,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2031,8.014942,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2032,7.448833,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2033,6.882603,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2034,6.316494,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2035,5.750385,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2036,5.184155,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2037,4.618046,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2038,4.051816,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2039,3.485707,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2040,2.919477,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2041,2.701938,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2042,2.4844,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2043,2.266862,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2044,2.049324,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2045,1.831786,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2046,1.614247,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2047,1.396709,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2048,1.179171,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2049,0.961754,Mt CO2,reported
NZE,WEO2023,BBVA O&G,2050,0.744216,Mt CO2,reported
