scenario,vintage,scope,year,value,unit,source
CPS,WEO2025,Global O&G (A.4),2043,25535.4,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2044,11792,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2044,13876.8,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2044,25669.2,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2045,11829,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2045,13973.5,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2045,25803,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2046,11866,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2046,14070.2,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2046,25936.8,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2047,11903,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2047,14166.9,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2047,26070.6,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2048,11940,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2048,14263.6,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2048,26204.4,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2049,11977,Mt CO2,interp_lineal
CPS,WEO2025,Global Gas (A.4),2049,14360.3,Mt CO2,interp_lineal
CPS,WEO2025,Global O&G (A.4),2049,26338.2,Mt CO2,interp_lineal
CPS,WEO2025,Global Oil (A.4),2050,12014,Mt CO2,reported
CPS,WEO2025,Global Gas (A.4),2050,14457,Mt CO2,reported
CPS,WEO2025,Global O&G (A.4),2050,26472,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2021,14,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2022,14.244471,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2023,14.493211,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2024,14.746294,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2025,14.828289,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2026,14.91074,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2027,14.993649,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2028,15.077019,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2029,15.160853,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2030,15.245153,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2031,15.329922,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2032,15.415162,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2033,15.500876,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2034,15.587067,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2035,15.673736,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2036,15.728617,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2037,15.78369,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2038,15.838956,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2039,15.894415,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2040,15.950068,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2041,16.03299,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2042,16.116344,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2043,16.20013,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2044,16.284352,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2045,16.369012,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2046,16.454112,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2047,16.539654,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2048,16.625642,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2049,16.712076,Mt CO2,reported
CPS,WEO2025,BBVA O&G,2050,16.798959,Mt CO2,reported
STEPS,WEO2025,Global Oil (A.4),2021,11257,Mt CO2,reported
STEPS,WEO2025,Global Gas (A.4),2021,10804,Mt CO2,reported
STEPS,WEO2025,Global O&G (A.4),2021,22061,Mt CO2,reported
STEPS,WEO2025,Global Oil (A.4),2022,11559,Mt CO2,reported
STEPS,WEO2025,Global Gas (A.4),2022,10700,Mt CO2,reported
STEPS,WEO2025,Global O&G (A.4),2022,22259,Mt CO2,reported
STEPS,WEO2025,Global Oil (A.4),2023,12056,Mt CO2,reported
STEPS,WEO2025,Global Gas (A.4),2023,10864,Mt CO2,reported
STEPS,WEO2025,Global O&G (A.4),2023,22920,Mt CO2,reported
STEPS,WEO2025,Global Oil (A.4),2024,12124,Mt CO2,reported
STEPS,WEO2025,Global Gas (A.4),2024,11113,Mt CO2,reported
STEPS,WEO2025,Global O&G (A.4),2024,23237,Mt CO2,reported
STEPS,WEO2025,Global Oil (A.4),2025,12024.545455,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2025,11217.090909,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2025,23241.636364,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2026,11925.090909,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2026,11321.181818,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2026,23246.272727,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2027,11825.636364,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2027,11425.272727,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2027,23250.909091,Mt CO2,interp_lineal
